Question,FOL Query
Can you spot a police car at the center?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Can you spot a person on the right of the police car? ,"Pedestrian(x)^IsPerson(x)^InitialLocation(x, NearRight)^TypeOf(y, PoliceCar)"
Is there a brown car on the right?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearRight)"
Is there a white SUV on the write of the police car?,"TypeOf(x, SUV)^ColorOf(x, White)^InitialLocation(x, NearRight)^TypeOf(y, PoliceCar)"
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Can you spot a police car near the front?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Is the white car at the center accelerating?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)^Vehicles(x)^Accelerate(x)"
Does the police car approach a blue car coming from the opposite direction?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Blue)^ComeClose(x, y)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Does the distance between the police car at the center and the brown SUV on the left decrease?,"TypeOf(x, PoliceCar)^TypeOf(y, SUV)^ColorOf(y, Brown)^InitialLocation(x, Center)^InitialLocation(y, Left)^DistanceDecrease(x, y)"
Does the car on the right accelerate?,"TypeOf(x, Car)^ColorOf(x, )^Vehicles(x)^Accelerate(x)^InitialLocation(x, Right)"
Can you spot a blue car on the right?,"TypeOf(x, Car)^ColorOf(x, Blue)^InitialLocation(x, NearRight)"
Does the white car decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^Decelerate(x)"
Is there a white car near the front?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there a blue car on the left?,"TypeOf(x, Car)^ColorOf(x, Blue)^InitialLocation(x, Left)"
Does the white car at the center move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^Moving(x)^ConstantSpeed(x)^InitialLocation(x, NearFront)"
Is the person with a motorcycle on the right of the white car?,"TypeOf(x, Motorcycle)^Ride(x, y)^TypeOf(y, Car)^ColorOf(y, White)^OnRight(x, y)"
Does the brown car on the right disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Brown)^Disappear(x)"
Does the distance between the brown car and the terrain in the front decrease?,"TypeOf(x, Car)^ColorOf(x, Brown)^TypeOf(y, Terrain)^DistanceDecrease(x, y)^InitialLocation(x, NearFront)"
Can you spot a police car on the right?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearRight)"
Is there a brown car on the right that disappears from the scene?,"TypeOf(x, Car)^ColorOf(x, Brown)^Disappear(x)^LastLocation(x, NearRight)"
Is there a police car at the center?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Can you spot a pedestrian walking on the left?,"Pedestrian(x)^Walk(x)^InitialLocation(x, Left)"
Does the pedestrian disappear?,Pedestrian(x)^Disappear(x)
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Is there a white car at the center?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the white car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, White)^Disappear(x)"
Does the police car approach an intersection with traffic lights?,"TypeOf(x, PoliceCar)^IsVehicles(x)^Move(x)^InitialLocation(x, NearFront)^Trafficlight(y)^InitialLocation(y, NearFront)^ComeClose(x, y)"
Is the red truck on the right of the white car? ,"TypeOf(x, Truck)^ColorOf(x, Red)^InitialLocation(x, Right)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Left)"
Can you spot a pedestrian walking on the right of the scene?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Can you spot a bus near the right of the police car?,"TypeOf(x, Bus)^TypeOf(y, PoliceCar)^InitialLocation(x, NearRight)^InitialLocation(y, NearRight)"
Is there any pedestrian walking on the left?,"Pedestrian(x)^Walk(x)^InitialLocation(x, Left)"
Is the black car on the right of the white car?,"TypeOf(x, Car)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(x, NearRight)^InitialLocation(y, NearLeft)"
Does the distance between the police car at the center and the pedestrian at the right decrease?,"TypeOf(x, PoliceCar)^TypeOf(y, Pedestrian)^InitialLocation(x, Center)^InitialLocation(y, Right)^DistanceDecrease(x, y)"
Is the person with the motorcycle on the right of the white car?,"TypeOf(x, Motorcycle)^Ride(x, y)^TypeOf(y, Car)^ColorOf(y, White)^OnRight(x, y)"
Is there a person on the left of the white car?,"TypeOf(y, Car)^ColorOf(y, White)^IsPerson(x)^InitialLocation(y, Left)^InitialLocation(x, LeftOf(y))"
Does the pedestrian walk at a constant speed and disappear?,Pedestrian(x)^FixedPace(x)^Disappear(x)
Does the pedestrian walk at a fixed pace?,Pedestrian(x)^FixedPace(x)
Does the white car at the center decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)^Vehicles(x)^Decelerate(x)"
Does the pedestrian on the left disappear from the scene?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, Left)"
Is there a motorcycle on the right?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearRight)"
Does a person from the right of the scene disappear?,"IsPerson(x)^Disappear(x)^InitialLocation(x, NearRight)"
Does the pedestrian decrease the pace?,Question: Does the pedestrian decrease the pace? Answer: Yes.     Answer: Does the pedestrian decrease the pace?     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.     Answer: Yes.
Is there a black SUV stopped near the right?,Question: Is there a black SUV stopped near the right? Answer: No. This is a real-time query that can be used to find out what the person was driving.     Question: Is there a black SUV in the center of the highway? Answer: Yes.    Question: Is there a black SUV on the right side of the road? Answer: No.     Question: Is there a black SUV on the right side of the road? Answer: Yes.    Question: Is there a black
Does the speed of the red fire truck remain unchanged?,"TypeOf(x, Truck)^ColorOf(x, Red)^Vehicles(x)^ConstantSpeed(x)"
Is there a white car near the front?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there an orange van at the right of the police car?,"TypeOf(x, Van)^ColorOf(x, Orange)^InitialLocation(x, Right)^TypeOf(y, PoliceCar)^InitialLocation(y, Left)"
Is there a black SUV stopped near the right?,"TypeOf(x, SUV)^ColorOf(x, Black)^Stopped(x)^InitialLocation(x, NearRight)"
Is there a white SUV at the right whose position changes and appears at the front of the white car?,"TypeOf(x, SUV)^ColorOf(x, White)^Move(x)^InitialLocation(x, Right)^LastLocation(x, Front)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Front)^DistanceIncrease(x, y)^DistanceZeroStart(x, y)^Appear(x)"
Is there an ambulance on the left of the white car?,"TypeOf(x, Ambulance)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Left)^InitialLocation(x, Left)"
Does the police car get close to the back car on the left?,"TypeOf(x, PoliceCar)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, BackLeft)^ComeClose(x, y)"
Does the person on the right disappear from the scene?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, NearRight)"
Are some pedestrians visible on the left of the white car?,"Pedestrian(x)^IsPedestrian(x)^Visible(x)^TypeOf(y, Car)^ColorOf(y, White)^OnLeft(y, x)"
Does the black SUV maintain a constant distance from the terrain at the left of the scene?,We've
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there a person visible on the left of the police car?,"TypeOf(y, PoliceCar)^IsPerson(x)^Pedestrian(x)^InitialLocation(x, NearLeft)^InitialLocation(y, NearLeft)"
Does the black car disappear from the left?,"TypeOf(x, Car)^ColorOf(x, Black)^Disappear(x)^LastLocation(x, NearLeft)"
Does a blue car disappear from the right of the screen?,"TypeOf(x, Car)^ColorOf(x, Blue)^Disappear(x)"
Is there a person riding a bicycle on the right?,"Pedestrian(x)^Ride(x, y)^TypeOf(y, Bicycle)^InitialLocation(x, Right)"
Is there a brown car at the center of the frame?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearFront)"
Can you spot a red truck on the left?,"TypeOf(x, Truck)^ColorOf(x, Red)^InitialLocation(x, NearLeft)"
Does a black car appear on the left?,"TypeOf(x, Car)^ColorOf(x, Black)^Appear(x)^InitialLocation(x, Left)"
Does the motorcycle disappear from the scene?,"TypeOf(x, Motorcycle)^Disappear(x)"
Does the distance between the police car and the black car on the left decrease?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, Left)^DistanceDecrease(x, y)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Is the a white SUV on the left?,"TypeOf(x, SUV)^ColorOf(x, White)^InitialLocation(x, Left)"
Does the black SUV maintain a constant distance from the terrain at the left of the scene?,Answer: No. The car is running when the scene is moving
Does the brown car disappear,"TypeOf(x, Car)^ColorOf(x, Brown)^Disappear(x)"
Does the police car at the center decelerate?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^Decelerate(x)"
Can you spot a person on the right of the frame?,"IsPedestrian(x)^InitialLocation(x, NearRight)"
Does the police car at the center approach traffic lights at an intersection?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)^Trafficlight(y)^InitialLocation(y, NearFront)^Approach(x, y)"
Does the back car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^Disappear(x)"
Can you spot a gray SUV at the near-left?,"TypeOf(x, SUV)^ColorOf(x, Gray)^InitialLocation(x, NearLeft)"
Does the blue car with a white top disappear from the right side of the scene?,"TypeOf(x, Car)^ColorOf(x, Blue)^ColorOf(x, WhiteTop)^Disappear(x)^LastLocation(x, RightSide)"
Does the blue car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Blue)^Disappear(x)"
Are there trees on the left of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Tree)^InitialLocation(y, NearLeft)^InitialLocation(x, NearLeft)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Is there a police car at the center of the scene?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the police car move at a constant speed?,"TypeOf(x, PoliceCar)^Vehicles(x)^ConstantSpeed(x)"
Can you spot a police car at the center of the scene?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Is there a motorcycle on the right?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearRight)"
Is there a person moving at a constant speed on the right of the scene?,"IsPedestrian(x)^Moving(x)^ConstantSpeed(x)^InitialLocation(x, Right)"
Is there a terrain on the left?,"Terrain(x)^IsTerrain(x)^InitialLocation(x, Left)"
Is the motorcycle on the right of the white car?,"TypeOf(x, Motorcycle)^TypeOf(y, Car)^ColorOf(y, White)^OnRight(x, y)"
Can you spot some cars at the front?,"TypeOf(x, Car)^Vehicles(x)^InitialLocation(x, NearFront)"
Does the location of the brown car in the scene change from front to right?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, Front)^LastLocation(x, Right)"
Is there a police car near the front?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Is there a pedestrian on the right walking at a fixed pace?,"Pedestrian(x)^FixedPace(x)^InitialLocation(x, NearRight)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Are there two pedestrians walking on the right?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)^Pedestrian(y)^Walk(y)^InitialLocation(y, NearRight)^x!=y"
Is the pedestrian on the left of the white car?,"Pedestrian(x)^OnLeft(y)^TypeOf(y, Car)^ColorOf(y, White)"
Is the person riding a bicycle?,"Pedestrian(x)^Ride(x, y)^TypeOf(y, Bicycle)"
Does the white car decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^Decelerate(x)"
Does the police car get close to an overhanging rail track?,"TypeOf(x, PoliceCar)^ComeClose(x, y)^TypeOf(y, RailTrack)^OnTop(y, Overhanging)"
Is there a black car moving at a constant speed in front of the white SUV?,"TypeOf(x, Car)^ColorOf(x, Black)^Vehicles(x)^ConstantSpeed(x)^TypeOf(y, SUV)^ColorOf(y, White)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Does the speed of the firetruck remain unchanged?,"TypeOf(x, FireTruck)^Vehicles(x)^ConstantSpeed(x)"
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Is there a black SUV on the right?,"TypeOf(x, SUV)^ColorOf(x, Black)^InitialLocation(x, NearRight)"
Is there a white car at the center of the frame?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the white car at the center decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)^Decelerate(x)"
Can you spot a bus on the left?,"TypeOf(x, Bus)^InitialLocation(x, NearLeft)"
Is the speed of the black car changing?,"TypeOf(x, Car)^ColorOf(x, Black)^Vehicles(x)^ConstantSpeed(x)"
Is there a pedestrian walking at a fixed pace on the right?,"Pedestrian(x)^FixedPace(x)^InitialLocation(x, Right)"
Do the speeds of the vehicles on the right remain unchanged?,Vehicles(x)^NotAccelerate(x)^NotDecelerate(x)^ConstantSpeed(x)
Can you spot a pedestrian on the right of the white car?,"Pedestrian(x)^OnRight(y)^TypeOf(y, Car)^ColorOf(y, White)"
"Does any pedestrian disappear from near the left, reducing the walking speed?","Pedestrian(x)^Disappear(x)^InitialLocation(x, NearLeft)^Walk(x)^NotIncreasePace(x)"
Does the police car decelerate?,"TypeOf(x, PoliceCar)^Decelerate(x)"
Can you spot some pedestrians on the left who disappear from the scene?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, NearLeft)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the police car come close to the bus?,"TypeOf(x, PoliceCar)^TypeOf(y, Bus)^ComeClose(x, y)"
Does the left truck disappear from the scene?,"TypeOf(x, Truck)^ColorOf(x, None)^Disappear(x)"
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Can you spot a blue car in front of the police car?,"TypeOf(x, Car)^ColorOf(x, Blue)^InitialLocation(x, NearFront)^TypeOf(y, PoliceCar)^InitialLocation(y, NearFront)"
Does the speed of the brown car remain unchanged?,"TypeOf(x, Car)^ColorOf(x, Brown)^ConstantSpeed(x)"
Is the police car at the center moving at a constant speed?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)^InitialLocation(x, NearFront)"
Does the brown car maintain a constant distance from the terrain?,"TypeOf(x, Car)^ColorOf(x, Brown)^Vehicles(x)^ConstantSpeed(x)^IsVehicles(x)^Terrain(y)^ConstantDistance(x, y)"
Does the person with the motorcycle disappear from the left?,"TypeOf(x, Motorcycle)^Pedestrian(x)^Disappear(x)^InitialLocation(x, Left)"
Does the white cor move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)"
Does the red track disappear from the scene?,"TypeOf(x, Truck)^ColorOf(x, Red)^Disappear(x)"
Does the red car at the near-left move at a constant speed and disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Red)^Vehicles(x)^ConstantSpeed(x)^Disappear(x)^InitialLocation(x, NearLeft)"
Does the gray SUV disappear from the scene?,"TypeOf(x, SUV)^ColorOf(x, Gray)^Disappear(x)"
Are there some vehicles on the right of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, position)^Vehicles(y)^RightOf(y, x)"
Are there some vehicles at the front of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(y)^TypeOf(y, Car)^InitialLocation(y, FrontOf)^InitialLocation(x, Front)"
Does the pedestrian walk at a constant speed and disappear?,Pedestrian(x)^Walk(x)^FixedPace(x)^Disappear(x)
Is there a yellow car with a black top at near right?,"TypeOf(x, Car)^ColorOf(x, Yellow)^ColorOf(x, Black)^InitialLocation(x, NearRight)"
Is there a black car on the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Can you spot a motorcycle at the near-left?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearLeft)"
Does the motorcycle disappear from the left?,"TypeOf(x, Motorcycle)^Disappear(x)^LastLocation(x, Left)"
Does the police car at the center move at a constant speed?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)^InitialLocation(x, NearFront)"
Does the motorcycle disappear from the scene?,"TypeOf(x, Motorcycle)^Disappear(x)"
Does the police car get closer to the blue car on the left?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Blue)^InitialLocation(y, Left)^DistanceDecrease(x, y)"
Can you see any person on the left?,"IsPedestrian(x)^InitialLocation(x, NearLeft)"
Is there any pedestrian walking on the right side of the scene?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Can you spot a black car on the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, NearRight)"
Does the SUV disappear from the scene?,"TypeOf(x, SUV)^Disappear(x)"
Can you spot a person riding the motorcycle?,"Pedestrian(y)^Ride(y, x)^TypeOf(x, Motorcycle)"
Can you spot any pedestrian near the left?,"Pedestrian(x)^InitialLocation(x, NearLeft)"
Does the police car get close to traffic lights at an intersection?,"TypeOf(x, PoliceCar)^IsPoliceCar(x)^Vehicles(x)^IsVehicles(x)^InitialLocation(x, NearFront)^Trafficlight(y)^IsTrafficlight(y)^InitialLocation(y, NearFront)^ComeClose(x, y)"
Does the police car on the right disappear from the scene?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^Disappear(x)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there a motorcycle on the left?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearLeft)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the distance between the white car and the grey truck decrease?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Truck)^ColorOf(y, Gray)^DistanceDecrease(x, y)"
Can you spot a police car at the center?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the person disappear from the scene?,IsPedestrian(x)^Disappear(x)
Can you spot a person on the right of the white car that is at the center of the scene?,"TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Center)^Pedestrian(x)^InitialLocation(x, Right)^IsPerson(x)"
Is the person moving at a constant speed?,Pedestrian(x)^ConstantSpeed(x)
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Is there another car on the right of the police car?,"TypeOf(x, Car)^ColorOf(x, OtherColor)^TypeOf(y, PoliceCar)^InitialLocation(y, Right)^InitialLocation(x, RightOf(y))"
Does the speed of the white car remain unchanged?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)"
Does the position of the black car change from right to front due to camera movement?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)^LastLocation(x, Front)"
Is there a gray SUV on the right of the police car?,"TypeOf(x, SUV)^ColorOf(x, Gray)^TypeOf(y, PoliceCar)^InitialLocation(x, Right)^InitialLocation(y, NearRight)"
Does the pedestrian move to the left and disappear?,"Pedestrian(x)^Move(x)^InitialLocation(x, Left)^Disappear(x)"
