Question,FOL Query
Is there a motorcycle on the left?,"TypeOf(x, Motorcycle)^InitialLocation(x, Left)"
Does the police car move at a constant speed and get close to traffic lights?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)^IsVehicles(x)^Move(x)^InitialLocation(x, NearTrafficLight)^ComeClose(x, y)^Trafficlight(y)"
Can you spot a person at the near-left of the police car?,"IsPedestrian(x)^InitialLocation(x, NearLeft)^TypeOf(y, PoliceCar)^InitialLocation(y, NearLeft)"
Is there a brown car on the right of the scene?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearRight)"
Let's start by examining the right side of the scene. Can you spot a white SUV in this area?,"TypeOf(x, SUV)^ColorOf(x, White)^InitialLocation(x, NearRight)"
Is there a police car at the center?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the blue and white car at the left move at a constant speed and disappear?,"TypeOf(x, Car)^ColorOf(x, Blue)^ColorOf(x, White)^ConstantSpeed(x)^Disappear(x)"
Can you spot a pedestrian making their way from the left side of the scene?,Question: Can you spot a pedestrian making their way from the right side
Does a black car on the right disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^Disappear(x)"
Can you see any pedestrians in front of the white car?,"TypeOf(y, Car)^ColorOf(y, White)^TypeOf(x, Pedestrian)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the white car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, White)^Disappear(x)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does a red SUV disappear from the right?,"TypeOf(x, SUV)^ColorOf(x, Red)^Disappear(x)^LastLocation(x, NearRight)"
Is there a yellow car visible at the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Yellow)^InitialLocation(x, NearLeft)"
Does the police car at the center of the scene get close to the SUV?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, SUV)^ComeClose(x, y)"
Is there a brown car at the center of the frame?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearFront)"
Does the motorcycle move at a constant velocity?,"TypeOf(x, Motorcycle)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Is there an orange bus at the right of the scene?,"TypeOf(x, Bus)^ColorOf(x, Orange)^InitialLocation(x, NearRight)"
Does the police car accelerate?,"TypeOf(x, PoliceCar)^Vehicles(x)^Accelerate(x)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Does the brown move at a constant speed?,"TypeOf(x, Vehicles)^ColorOf(x, Brown)^ConstantSpeed(x)"
Is the distance between the person and the brown car constant?,"Pedestrian(y)^TypeOf(x, Car)^ColorOf(x, Brown)^ConstantDistance(x, y)"
Can you spot a person on a motorcycle at the front?,"Pedestrian(y)^Ride(y, x)^TypeOf(x, Motorcycle)^InitialLocation(y, NearFront)"
Is there a pedestrian at the front of the white car?,"TypeOf(y, Car)^ColorOf(y, White)^Pedestrian(x)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Does the white car decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^Decelerate(x)"
Can you spot a pedestrian on the left?,"Pedestrian(x)^InitialLocation(x, Left)"
Does the car move at a constant speed?,"TypeOf(x, Car)^Vehicles(x)^ConstantSpeed(x)"
Is there a white car near the front?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the police car at the center come close to the gray car on the right?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, Gray)^InitialLocation(y, NearRight)^ComeClose(x, y)"
Can you spot a white SUV on the left?,"TypeOf(x, SUV)^ColorOf(x, White)^InitialLocation(x, NearLeft)"
Does the position of the pedestrian in the frame change from front to left?,"Pedestrian(x)^InitialLocation(x, Front)^LastLocation(x, Left)"
Is there a brown hatchback at the front?,"TypeOf(x, Hatchback)^ColorOf(x, Brown)^InitialLocation(x, NearFront)"
Does the yellow car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, Yellow)^Vehicles(x)^Move(x)^ConstantSpeed(x)"
Does the police car come close to the pedestrian on the left?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Pedestrian)^InitialLocation(y, OnLeft)^ComeClose(x, y)"
Does the white car decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^Decelerate(x)"
Is the grey truck on the left of the white car?,"TypeOf(x, Truck)^ColorOf(x, Grey)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Right)"
Does the person on the left disappear from the scene?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, Left)"
Does the white van come close to the white car at the center?,"TypeOf(x, Van)^ColorOf(x, White)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, NearFront)^ComeClose(x, y)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Does the police car at the center of the frame move at a constant speed?,"TypeOf(x, PoliceCar)^Vehicles(x)^ConstantSpeed(x)^InitialLocation(x, NearFront)"
Does the distance between the police car and the blue car decrease?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Blue)^DistanceDecrease(x, y)"
Can you spot a pedestrian walking on the left?,"Pedestrian(x)^Walk(x)^InitialLocation(x, Left)"
Is there a brown car at the center of the frame?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearFront)"
Does the position of the police car change from front to left?,"TypeOf(x, PoliceCar)^InitialLocation(x, Front)^LastLocation(x, Left)"
Is there any red fire truck on the left of the scene?,"TypeOf(x, Truck)^ColorOf(x, Red)^TypeOf(x, FireTruck)^InitialLocation(x, NearLeft)"
Does the white car at the center approach a red truck coming from the opposite side?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Center)^TypeOf(y, Truck)^ColorOf(y, Red)^ComeClose(x, y)"
Does the distance between the pedestrian and the white car decrease?,"Pedestrian(x)^Vehicles(y)^TypeOf(y, Car)^ColorOf(y, White)^DistanceDecrease(x, y)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^Move(x)^ConstantSpeed(x)"
Does the black SUV maintain a constant distance from the terrain at the left of the scene?,"TypeOf(x, SUV)^ColorOf(x, Black)^Vehicles(x)^ConstantSpeed(x)^InitialLocation(x, Left)"
Is there a motorcycle on the left?,"TypeOf(x, Motorcycle)^InitialLocation(x, Left)"
Can you spot a pedestrian walking on the right?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Does the police car at the center move at a constant speed?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)^InitialLocation(x, NearFront)"
Does the car move at a constant speed?,"TypeOf(x, Car)^Vehicles(x)^ConstantSpeed(x)"
Does the police car disappear?,"TypeOf(x, PoliceCar)^Disappear(x)"
Can you spot a pedestrian walking on the right of the scene?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Is there a black car on the left?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Does a black car appear on the left?,"TypeOf(x, Car)^ColorOf(x, Black)^Appear(x)^InitialLocation(x, Left)"
Are there buildings far in front of the white car?,"TypeOf(x, Building)^IsBuilding(x)^DistanceIncrease(x, y)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, FarFront)"
Does the white car get close to the pedestrian?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ComeClose(x, y)^Pedestrian(y)"
Is there a person on the left of the white car?,"IsPerson(y)^InitialLocation(y, Left)^TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearLeft)"
Does the person disappear from the scene?,IsPerson(x)^Disappear(x)
Can you spot another terrain in the front?,"TypeOf(x, Terrain)^InitialLocation(x, NearFront)"
Is the white SUV on the left of the white car?,"TypeOf(x, SUV)^ColorOf(x, White)^InitialLocation(x, Left)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Right)"
Does the pedestrian decrease the pace?,Pedestrian(x)^DecreasePace(x)
Are there some vehicles on the right?,Vehicles(x)^OnRight(x)
Can you spot a black car at the left of the scene?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Left)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Can you spot a pedestrian at the front?,"Pedestrian(x)^OnRoad(x)^InitialLocation(x, NearFront)"
Is there any police car on the scene?,"TypeOf(x, PoliceCar)"
Does the person with the bicycle disappear from the scene?,"Pedestrian(x)^TypeOf(x, Bicycle)^Disappear(x)"
Does the motorcycle disappear from the left?,"TypeOf(x, Motorcycle)^Disappear(x)^LastLocation(x, NearLeft)"
Is there a black SUV on the right?,"TypeOf(x, SUV)^ColorOf(x, Black)^InitialLocation(x, NearRight)"
Does the police car come closer to the black SUV?,What is your last name
Is there another motorcycle moving at a constant speed in front of the police car?,"TypeOf(x, Motorcycle)^ConstantSpeed(x)^Move(x)^TypeOf(y, PoliceCar)^InitialLocation(y, Front)"
Does the gray SUV at the front come to near the left?,"TypeOf(x, SUV)^ColorOf(x, Gray)^InitialLocation(x, NearFront)^DistanceDecrease(x, y)^Pedestrian(y)^InitialLocation(y, NearLeft)"
Can you spot a pedestrian on the right?,"Pedestrian(x)^InitialLocation(x, Right)"
Is there a brown SUV on the left?,"TypeOf(x, SUV)^ColorOf(x, Brown)^InitialLocation(x, NearLeft)"
Does the white car at the center decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)^Decelerate(x)"
Can you spot a pedestrian on the near left?,"Pedestrian(x)^InitialLocation(x, NearLeft)"
Does the white car at the center come close to a railtrack?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)^DistanceDecrease(x, y)^TypeOf(y, Railtrack)^ComeClose(x, y)"
Is the person with the motorcycle at the front of the white car?,"TypeOf(x, Motorcycle)^Ride(x, y)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, Front)"
Can you spot a person at the near-left?,"IsPedestrian(x)^InitialLocation(x, NearLeft)"
Does the distance between the police car and the yellow car on the left decrease?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Yellow)^InitialLocation(y, Left)^DistanceDecrease(x, y)"
Does the police car accelerate?,"TypeOf(x, PoliceCar)^Vehicles(x)^Accelerate(x)"
Does the pedestrian disappear from the scene?,Pedestrian(x)^Disappear(x)
Can you spot a police car near the front?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the police car get close to the brown car?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^TypeOf(y, Car)^ColorOf(y, Brown)^ComeClose(x, y)"
Does the person disappear from the scene?,IsPerson(x)^Disappear(x)
Does the speed of the SUV change?,"TypeOf(x, SUV)^Vehicles(x)^ConstantSpeed(x)"
Are there some vehicles at the front of the police car?,"TypeOf(y, PoliceCar)^Vehicles(y)^TypeOf(x, Vehicles)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Does the police car at the center come close to the black car at the right?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(y, NearRight)^ComeClose(x, y)"
Can you spot a black car on the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)"
Do the person and the motorcycle disappear from the left of the scene?,"Pedestrian(x)^Disappear(x)^TypeOf(y, Motorcycle)^Disappear(y)^InitialLocation(x, Left)^InitialLocation(y, Left)"
Can you spot a pedestrian walking near the right of the police car?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)^TypeOf(y, PoliceCar)^InitialLocation(y, NearRight)"
Is there a traffic light near the left of the white car?,"TypeOf(x, Trafficlight)^InitialLocation(x, NearLeft)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, NearLeft)"
Does the brown move at a constant speed?,"TypeOf(x, Vehicles)^ColorOf(x, Brown)^ConstantSpeed(x)"
Can you spot a police car that appears on the right?,"TypeOf(x, PoliceCar)^Appear(x)^InitialLocation(x, NearRight)"
Is there a brown car on the right?,"TypeOf(x, Car)^ColorOf(x, Brown)^InitialLocation(x, NearRight)"
Is the pedestrian on the right of the white car,"Pedestrian(x)^OnRight(y)^TypeOf(y, Car)^ColorOf(y, White)"
Is there a police car at the center?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the police car come closer to the black SUV?,Example: The police car stops on a road in a residential area. The police car is in a position to stop
Does the pedestrian walk at a fixed pace?,Pedestrian(x)^FixedPace(x)
Does the pedestrian disappear from the near left?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, NearLeft)"
Is there a white car at the center of the frame?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the person disappear from the left?,"Pedestrian(x)^Disappear(x)^LastLocation(x, Left)"
Is the black car that appears from the left also at the left of the white car?,"TypeOf(x, Car)^ColorOf(x, Black)^Appear(x)^InitialLocation(x, NearLeft)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, NearLeft)^ComeClose(x, y)"
Can you spot a gray car in front of the police car that moves at a constant speed? ,"TypeOf(x, Car)^ColorOf(x, Gray)^ConstantSpeed(x)^TypeOf(y, PoliceCar)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
Does the brown car disappear from the scene?,"TypeOf(x, Car)^ColorOf(x, Brown)^Disappear(x)"
Can you spot a blue SUV in front of the white car?,"TypeOf(x, SUV)^ColorOf(x, Blue)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, NearFront)"
Does the person disappear from the scene?,Pedestrian(x)^Disappear(x)
Does the white car decelerate?,"TypeOf(x, Car)^ColorOf(x, White)^Decelerate(x)"
Is the pedestrian in front of the white car?,"Pedestrian(x)^InitialLocation(x, NearFront)^TypeOf(y, Car)^ColorOf(y, White)^InitialLocation(y, NearFront)^DistanceDecrease(x, y)"
Is there a white car at the center of the scene?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, NearFront)"
Does the brown move at a constant speed?,"TypeOf(x, Vehicles)^ColorOf(x, Brown)^ConstantSpeed(x)"
Can you spot a brown SUV moving at a constant speed near the right?,"TypeOf(x, SUV)^ColorOf(x, Brown)^Vehicles(x)^Move(x)^ConstantSpeed(x)^InitialLocation(x, NearRight)"
Does the distance between the white car and the motorcycle decrease?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Motorcycle)^DistanceDecrease(x, y)"
Does the white SUV at the right of the scene maintain a constant velocity?,"TypeOf(x, SUV)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)"
Does the motorcycle disappear?,"TypeOf(x, Motorcycle)^Disappear(x)"
Can you spot a red truck on the left?,"TypeOf(x, Truck)^ColorOf(x, Red)^InitialLocation(x, NearLeft)"
Does a pedestrian disappear from the left?,"Pedestrian(x)^Disappear(x)^InitialLocation(x, Left)"
Does the distance between the police car and the overhanging rail track remain unchanged?,"TypeOf(x, PoliceCar)^TypeOf(y, RailTrack)^InitialLocation(x, position)^InitialLocation(y, position)^ConstantDistance(x, y)"
Is the motorcycle on the right of the white car?,"TypeOf(x, Motorcycle)^TypeOf(y, Car)^ColorOf(y, White)^OnRight(x, y)"
Can you spot a car near the right moving at a constant speed?,"TypeOf(x, Car)^Vehicles(x)^ConstantSpeed(x)^InitialLocation(x, NearRight)"
Is there a collision between the white car at the center and the brown car on the right?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(x, Center)^TypeOf(y, Car)^ColorOf(y, Brown)^InitialLocation(y, Right)^Collide(x, y)"
Is there a sidewalk on the left of the white car?,"TypeOf(x, Car)^ColorOf(x, White)^InitialLocation(y, LeftOf)^InitialLocation(x, Near)"
Does the orange bus move at a constant speed and disappear from the scene?,"TypeOf(x, Bus)^ColorOf(x, Orange)^Vehicles(x)^ConstantSpeed(x)^Disappear(x)"
Can you spot another car on the right?,"TypeOf(x, Car)^ColorOf(x, Any)^InitialLocation(x, Right)"
Does the distance between the person and the white car decrease?,"Pedestrian(y)^TypeOf(x, Car)^ColorOf(x, White)^DistanceDecrease(x, y)"
Is there a pedestrian on the right?,"Pedestrian(x)^InitialLocation(x, NearRight)"
Does the police car at the center come close to the motorcycle?,"TypeOf(x, PoliceCar)^ColorOf(x, Black)^InitialLocation(x, NearFront)^TypeOf(y, Motorcycle)^ComeClose(x, y)"
Can you spot a red fire truck on the left?,"TypeOf(x, Truck)^ColorOf(x, Red)^TypeOf(x, FireTruck)^InitialLocation(x, NearLeft)"
Does the black SUV disappear from the right?,"TypeOf(x, SUV)^ColorOf(x, Black)^Disappear(x)^LastLocation(x, NearRight)"
Does the gray van on the right disappear from the scene?,"TypeOf(x, Van)^ColorOf(x, Gray)^Disappear(x)"
Is there a pedestrian on the right walking at a fixed pace?,"Pedestrian(x)^FixedPace(x)^InitialLocation(x, NearRight)"
Can you spot traffic signs in the front?,"IsTrafficSign(x)^InitialLocation(x, NearFront)"
Does a pedestrian near the left increase pace and disappear from the scene?,"Pedestrian(x)^IncreasePace(x)^Disappear(x)^InitialLocation(x, Left)"
Does the police car move at a constant speed?,"TypeOf(x, PoliceCar)^Vehicles(x)^ConstantSpeed(x)"
Is there a grey truck on the right?,"TypeOf(x, Truck)^ColorOf(x, Gray)^InitialLocation(x, NearRight)"
Is the red SUV that disappears from the scene on the right of the white car?,"TypeOf(x, SUV)^ColorOf(x, Red)^Disappear(x)^TypeOf(y, Car)^ColorOf(y, White)^OnRight(x, y)"
Does the distance between the white car and the black car on the left decrease?,"TypeOf(x, Car)^ColorOf(x, White)^TypeOf(y, Car)^ColorOf(y, Black)^InitialLocation(x, NearLeft)^DistanceDecrease(x, y)"
Can you spot a person on the right of the scene?,"IsPedestrian(x)^InitialLocation(x, NearRight)"
Is there a person on the left of the police car?,"TypeOf(y, PoliceCar)^IsPerson(x)^InitialLocation(y, Left)^InitialLocation(x, Left)"
Does a person move at a constant speed?,Pedestrian(x)^NotAccelerate(x)^NotDecelerate(x)^FixedPace(x)
Can you spot a person on the right riding a motorcycle?,"Pedestrian(x)^Ride(x, y)^TypeOf(y, Motorcycle)^OnRight(y)"
Does the white car move at a constant speed?,"TypeOf(x, Car)^ColorOf(x, White)^Vehicles(x)^ConstantSpeed(x)^Move(x)"
Can you spot a police car at the center of the scene?,"TypeOf(x, PoliceCar)^InitialLocation(x, NearFront)"
Does the position of the pedestrian in the frame change from front to left?,"Pedestrian(x)^InitialLocation(x, Front)^LastLocation(x, Left)"
Can you spot a pedestrian walking near the right of the scene?,"Pedestrian(x)^Walk(x)^InitialLocation(x, NearRight)"
Does the police car move at a constant speed?,"TypeOf(x, PoliceCar)^ConstantSpeed(x)"
Is there a motorcycle on the right?,"TypeOf(x, Motorcycle)^InitialLocation(x, NearRight)"
Does the police car get close to traffic lights at an intersection?,"TypeOf(x, PoliceCar)^IsCar(x)^InitialLocation(x, NearFront)^Trafficlight(y)^InitialLocation(y, NearFront)^ComeClose(x, y)"
Are there some black cars on the right?,"TypeOf(x, Car)^ColorOf(x, Black)^InitialLocation(x, Right)"
Can you spot a person on the left of the scene moving at a constant speed?,"Pedestrian(x)^Moving(x)^ConstantSpeed(x)^InitialLocation(x, Left)"
Does the blue car disappear?,"TypeOf(x, Car)^ColorOf(x, Blue)^Disappear(x)"
Is there a person visible in front of the police car?,"TypeOf(y, PoliceCar)^TypeOf(x, Person)^Pedestrian(x)^InitialLocation(x, NearFront)^InitialLocation(y, NearFront)"
